Placebo (n = 39)	1/2 cup blueberries (n = 39)	1 cup blueberries (n = 37)
Before	After	∆ 0 to 6 mo	Before	After	∆ 0 to 6 mo	Before	After	∆ 0 to 6 mo	P
HOMA-IR 	2.0 (1.9, 2.2) 	2.1 (1.9, 2.2) 	0.07 (–0.12, 0.26) 	1.9 (1.8, 2.1) 	2.3 (2.1, 2.4) 	0.32 (0.15, 0.49) 	2.0 (1.9, 2.2) 	2.1 (1.9, 2.2) 	0.05 (–0.13, 0.24)c 	0.07 
QUICKI 	0.35 (0.34, 0.35) 	0.34 (0.34, 0.35) 	0.00 (–0.01, 0.00) 	0.35 (0.34, 0.35) 	0.34 (0.34, 0.34) 	–0.01 (–0.01, 0.00) 	0.35 (0.34, 0.35) 	0.34 (0.34, 0.35) 	0.00 (–0.01, 0.00) 	0.55 
Glucose, mmol/L 	5.2 (5.2, 5.3) 	5.2 (5.1, 5.3) 	–0.04 (–0.13, 0.06) 	5.2 (5.2, 5.3) 	5.3 (5.2, 5.4) 	0.06 (–0.03, 0.16) 	5.2 (5.2, 5.3) 	5.2 (5.1, 5.3) 	–0.03 (–0.13, 0.07) 	0.24 
Insulin, mU/L 	9.0 (8.4, 9.6) 	9.8 (9.2, 10.4) 	0.78 (–0.12, 1.7) 	9.0 (8.3, 9.6) 	10.6 (9.9, 11.2) 	1.6 (0.73, 2.5) 	9.1 (8.4, 9.7) 	9.7 (9.1, 10.4) 	0.66 (–0.28, 1.6) 	0.28 
HbA1c, % (mmol/mol) 	5.7 (5.7, 5.8); [39.1 (38.6, 39.6)] 	5.7 (5.7, 5.8); [39.3 (38.7, 39.8)] 	0.01 (–0.06, 0.09); [0.16 (–0.61, 0.93)] 	5.7 (5.7, 5.8); [39.1 (38.6, 39.7)] 	5.8 (5.7, 5.8); [39.9 (39.3, 40.4)] 	0.07 (0.00, 0.14); [0.76 (–0.01, 1.5)] 	5.7 (5.7, 5.8); [39.1 (38.6, 39.7)] 	5.8 (5.7, 5.8); [39.5 (38.9, 40.0)] 	0.03 (–0.04, 0.10); [0.36 (–0.42, 1.1)] 	0.55 
Systolic BP, mmHg 	136 (134, 138) 	133 (131, 135) 	–2.58 (–5.51, 0.36) 	136 (134, 138) 	135 (133, 137) 	–0.63 (–3.56, 2.3) 	136 (134, 138) 	134 (132, 136) 	–1.50 (–4.55, 1.6) 	0.65 
Diastolic BP, mmHg 	81.2 (79.9, 82.5) 	82.3 (81.0, 83.6) 	1.1 (–0.69, 2.9) 	80.9 (79.6, 82.2) 	82.2 (80.9, 83.5) 	1.3 (–0.53, 3.1) 	81.6 (80.3, 83.0) 	80.9 (79.5, 82.2) 	–0.75 (–2.64, 1.1) 	0.24 
Cholesterol, mmol/L 	5.4 (5.2, 5.5) 	5.4 (5.3, 5.5) 	0.02 (–0.16, 0.21) 	5.4 (5.3, 5.6) 	5.5 (5.3, 5.6) 	0.02 (–0.17, 0.20) 	5.4 (5.3, 5.5) 	5.6 (5.4, 5.7) 	0.19 (0.00, 0.38) 	0.35 
LDL cholesterol, mmol/L 	3.4 (3.3, 3.5) 	3.4 (3.3, 3.5) 	0.04 (–0.11, 0.20) 	3.4 (3.3, 3.6) 	3.4 (3.2, 3.5) 	–0.09 (–0.24, 0.07) 	3.4 (3.3, 3.5) 	3.5 (3.4, 3.6) 	0.09 (–0.06, 0.25) 	0.24 
HDL cholesterol, mmol/L 	1.2 (1.1, 1.2) 	1.1 (1.1, 1.2) 	–0.02 (–0.06, 0.02) 	1.2 (1.1, 1.2) 	1.2 (1.1, 1.2) 	0.00 (–0.04, 0.04) 	1.2 (1.1, 1.2) 	1.2 (1.2, 1.2) 	0.04 (0.00, 0.08)a 	0.08 
Total cholesterol:HDL cholesterol 	4.7 (4.6, 4.8) 	4.7 (4.6, 4.8) 	0.06 (–0.11, 0.22) 	4.7 (4.6, 4.8) 	4.7 (4.6, 4.9) 	0.06 (–0.11, 0.22) 	4.7 (4.6, 4.8) 	4.7 (4.6, 4.8) 	–0.01 (–0.18, 0.16) 	0.83 
TGs, mmol/L 	1.7 (1.6, 1.8) 	1.7 (1.6, 1.8) 	–0.03 (–0.17, 0.12) 	1.7 (1.6, 1.8) 	2.0 (1.9, 2.1) 	0.24 (0.10, 0.38)b 	1.8 (1.6, 1.9) 	1.9 (3.4, 3.6) 	0.10 (–0.04, 0.25) 	0.04 
