Day,92,93,94,95,96,97,98,99,0,1,2,3,4,Avg
1 Sept.,5,4,16,6,3,6,2,6,2,9,0,3,3,5
2 Sept.,4,3,19,14,4,9,1,11,0,6,2,3,5,6
3 Sept.,2,1,6,32,3,10,1,14,0,3,4,4,2,6
4 Sept.,3,0,7,8,3,66,0,8,1,7,2,3,1,8
5 Sept.,1,4,19,5,2,105,1,3,0,4,3,8,0,12
6 Sept.,0,6,76,15,0,107,1,2,0,10,1,14,0,18
7 Sept.,2,3,50,4,2,90,0,2,1,9,1,19,1,14
8 Sept.,2,3,54,10,0,74,1,3,2,9,2,14,0,13
9 Sept.,1,1,40,6,1,10,2,2,1,7,3,5,0,6
10 Sept.,2,2,54,15,1,5,14,1,0,5,2,4,1,8
11 Sept.,3,4,62,15,0,5,47,3,1,38,3,6,2,15
12 Sept.,12,9,67,5,2,12,35,6,1,28,23,0,2,16
13 Sept.,8,5,96,1,2,15,7,4,0,2,26,1,1,13
14 Sept.,6,3,62,1,1,19,2,1,1,0,29,2,0,10
15 Sept.,2,6,15,4,7,75,1,0,1,15,13,0,0,11
16 Sept.,2,17,1,2,1,85,1,0,6,25,6,3,1,12
17 Sept.,1,26,0,1,3,50,3,9,18,26,65,2,2,16
18 Sept.,2,24,47,18,5,35,2,54,11,31,32,0,1,20
19 Sept.,15,100,152,8,145,139,1,241,10,27,6,0,1,65
20 Sept.,5,51,15,3,101,11,1,122,16,1,3,1,3,25
21 Sept.,3,8,25,2,71,73,0,82,5,20,5,1,13,25
22 Sept.,1,66,*,0,3,66,0,52,13,23,2,1,17,20
23 Sept.,7,50,6,5,40,80,17,177,1,33,47,0,5,38
24 Sept.,3,79,25,6,41,22,31,132,30,4,60,3,1,34
25 Sept.,*,59,9,3,73,65,17,343,0,1,11,1,1,49
26 Sept.,9,24,*,5,7,217,29,51,0,35,0,1,0,32
27 Sept.,1,3,4,9,1,11,21,14,81,51,2,1,1,16
28 Sept.,8,31,17,22,0,1,82,2,112,132,18,5,1,33
29 Sept.,0,89,6,11,21,1,67,2,18,56,5,34,3,25
30 Sept.,3,52,68,12,82,6,17,17,14,0,1,26,1,22
1 Oct.,2,31,74,5,48,30,6,314,10,2,0,38,4,43
2 Oct.,3,17,135,10,14,17,51,945,10,118,2,24,2,108
3 Oct.,4,24,23,14,17,25,37,656,23,122,1,12,4,75
4 Oct.,2,68,7,4,37,39,1,361,24,61,5,5,18,48
5 Oct.,1,12,3,3,54,24,24,573,9,32,3,48,2,62
6 Oct.,1,12,1,3,40,13,15,198,8,19,4,13,1,25
7 Oct.,1,10,4,5,21,12,15,83,10,23,3,30,4,17
8 Oct.,2,22,5,8,0,50,7,78,11,14,16,35,6,20
9 Oct.,1,14,3,15,12,23,5,56,2,26,19,83,11,21
10 Oct.,9,52,1,9,6,26,1,0,0,15,0,29,7,10
11 Oct.,5,9,10,6,9,11,45,547,2,2,2,65,3,55
12 Oct.,13,*,7,9,9,22,11,31,2,12,24,44,1,15
13 Oct.,18,4,0,18,4,24,7,4,3,13,14,25,3,11
14 Oct.,7,4,1,0,10,22,17,0,5,11,6,70,0,12
15 Oct.,5,7,0,1,9,0,26,4,8,12,4,7,1,7
16 Oct.,2,13,10,4,18,35,9,4,3,19,1,23,0,11
17 Oct.,2,3,9,15,54,24,15,14,6,9,8,36,2,15
18 Oct.,0,7,3,25,3,26,24,6,2,22,4,14,4,11
19 Oct.,0,3,13,21,1,0,56,10,4,42,1,12,5,13
20 Oct.,0,*,9,5,1,10,27,0,2,57,4,29,1,12
21 Oct.,0,3,16,0,11,3,13,2,11,20,6,17,1,8
22 Oct.,0,1,5,2,11,1,4,1,1,12,13,8,1,4
23 Oct.,1,4,*,3,6,1,2,1,3,10,24,0,1,4
24 Oct.,0,4,21,5,10,1,10,1,1,20,5,3,1,6
25 Oct.,1,10,24,8,21,1,9,5,0,47,0,4,1,10
26 Oct.,0,5,*,8,6,0,2,2,1,6,2,0,1,3
27 Oct.,0,6,6,2,5,1,0,3,3,5,6,0,1,3
28 Oct.,0,3,6,1,2,0,0,2,2,2,0,3,1,2
29 Oct.,0,5,4,1,5,0,0,3,0,1,0,2,0,2
30 Oct.,0,*,4,4,0,3,0,1,1,5,0,8,0,2
31 Oct.,*,*,3,8,3,3,0,2,0,7,2,4,2,3
Avg,4,20,28,8,18,34,14,96,9,23,9,14,3,21
